order,pit,id,clutch,site,urb.cat,treat,cross.over,urban.index,enclo,tub,mass ,svl,endur,endur.temp,sprint.ms,sprint.bls,sprint.temp,grip.b,bark.temp,grip.c,conc.temp
1,9.00E+14,7103,LN001,LN,n,U,nU,91.15343572,U1,U1.1,24.2,94,107.3,29.3,1.666666667,17.73049645,29.3,3.6,23.5,2.8,24
2,9.00E+14,7103,LN001,LN,n,U,nU,91.15343572,U1,U1.1,24.2,94,119.2,29.3,1.428571429,15.19756839,29.3,3.75,24,2.75,25
3,9.00E+14,7103,LN001,LN,n,U,nU,91.15343572,U1,U1.1,24.2,94,178.6,32,1.428571429,15.19756839,32,3.75,24.5,3.05,25.5
1,9.00E+14,7105,TZ011,TZ,u,U,uU,60.15863793,U1,U1.1,17.5,85,101.4,30.6,1.428571429,16.80672269,30.6,2.75,23,3,25
2,9.00E+14,7105,TZ011,TZ,u,U,uU,60.15863793,U1,U1.1,17.5,85,139.8,28.3,1.428571429,16.80672269,28.3,3,24.5,2.85,26
3,9.00E+14,7105,TZ011,TZ,u,U,uU,60.15863793,U1,U1.1,17.5,85,168.9,31.2,1.111111111,13.07189542,31.2,2.9,24.5,2.25,25.5
1,9.00E+14,7193,CG003,CG,u,U,uU,0.369364169,U1,U1.1,17.2,86,94.3,29.9,1.111111111,12.91989664,29.9,2.45,24,1.9,24.5
2,9.00E+14,7193,CG003,CG,u,U,uU,0.369364169,U1,U1.1,17.2,86,142.8,30.3,1.666666667,19.37984496,30.3,3,24,1.95,24.5
3,9.00E+14,7193,CG003,CG,u,U,uU,0.369364169,U1,U1.1,17.2,86,106.3,31.2,1.25,14.53488372,31.2,3.35,24.5,2.1,25
1,9.00E+14,7006,TZ009,TZ,u,U,uU,59.13762436,U1,U1.2,23.2,90,126.6,31.2,1,11.11111111,31.2,3.55,23,2.05,25
2,9.00E+14,7006,TZ009,TZ,u,U,uU,59.13762436,U1,U1.2,23.2,90,120,28.1,1.111111111,12.34567901,28.1,3.2,24,2.6,26
3,9.00E+14,7006,TZ009,TZ,u,U,uU,59.13762436,U1,U1.2,23.2,90,133.2,30.4,1.111111111,12.34567901,30.4,2.9,24,3.05,26.5
1,9.00E+14,7074,LN009,LN,n,U,nU,91.15343572,U1,U1.2,19,89,111.1,30.2,1.25,14.04494382,30.2,3.3,23.5,3,25
2,9.00E+14,7074,LN009,LN,n,U,nU,91.15343572,U1,U1.2,19,89,130.3,29,1.428571429,16.05136437,29,2.3,24,2.9,26
3,9.00E+14,7074,LN009,LN,n,U,nU,91.15343572,U1,U1.2,19,89,176.2,29.6,1.25,14.04494382,29.6,2.75,25,2.4,26.5
1,9.00E+14,7122,LN014,LN,n,U,nU,90.31310792,U1,U1.2,26.4,98,153.7,31.1,1.666666667,17.00680272,31.1,3.55,24.5,3,24.5
2,9.00E+14,7122,LN014,LN,n,U,nU,90.31310792,U1,U1.2,26.4,98,89.2,28.8,1.666666667,17.00680272,28.8,3.1,24,2.2,25.5
3,9.00E+14,7122,LN014,LN,n,U,nU,90.31310792,U1,U1.2,26.4,98,88.1,30.4,1.666666667,17.00680272,30.4,4.25,24,3.8,26.5
1,9.00E+14,7214,LN006,LN,n,U,nU,91.15343572,U1,U1.2,43,115,153.2,30,1.428571429,12.42236025,30,4.1,24.5,4.45,25.5
2,9.00E+14,7214,LN006,LN,n,U,nU,91.15343572,U1,U1.2,43,115,200,28.7,1.428571429,12.42236025,28.7,4.45,24.5,3.9,25
3,9.00E+14,7214,LN006,LN,n,U,nU,91.15343572,U1,U1.2,43,115,171.9,30.8,1,8.695652174,30.8,4.9,25,3.4,25
1,9.00E+14,7112,MB004,MB,u,U,uU,37.3077438,U2,U2.1,14.3,84,90.4,29.1,0.833333333,9.920634921,29.1,2.6,24.5,1.9,28
2,9.00E+14,7112,MB004,MB,u,U,uU,37.3077438,U2,U2.1,14.3,84,137.1,28.7,1.666666667,19.84126984,28.7,2.4,24,2.65,27
3,9.00E+14,7112,MB004,MB,u,U,uU,37.3077438,U2,U2.1,14.3,84,151.3,30.1,1.111111111,13.22751323,30.1,3,24.5,2.9,26.5
1,9.00E+14,7124,CG001,CG,u,U,uU,0.369364169,U2,U2.1,12.7,81,99.5,31,0.909090909,11.22334456,31,2.3,24.5,1.85,25
2,9.00E+14,7124,CG001,CG,u,U,uU,0.369364169,U2,U2.1,12.7,81,74,28.3,1,12.34567901,28.3,2.35,25,2.8,25.5
3,9.00E+14,7124,CG001,CG,u,U,uU,0.369364169,U2,U2.1,12.7,81,97.5,29.9,1.25,15.43209877,29.9,1.75,25.5,2.55,26
1,9.00E+14,7154,TZ007,TZ,u,U,uU,59.13762436,U2,U2.1,15.3,81,91.8,31.2,1.111111111,13.71742112,31.2,2.1,25,2.65,25.5
2,9.00E+14,7154,TZ007,TZ,u,U,uU,59.13762436,U2,U2.1,15.3,81,92.7,29,1.428571429,17.6366843,29,2.15,25,2.35,26.5
3,9.00E+14,7154,TZ007,TZ,u,U,uU,59.13762436,U2,U2.1,15.3,81,125.1,30.2,1.25,15.43209877,30.2,2.1,25.5,2.35,27.5
1,9.00E+14,7190,LN001,LN,n,U,nU,91.15343572,U2,U2.1,26.6,97,145.9,29.9,1,10.30927835,29.9,3.7,25,2.9,26.5
2,9.00E+14,7190,LN001,LN,n,U,nU,91.15343572,U2,U2.1,26.6,97,160.8,28.7,1.111111111,11.45475372,28.7,3.4,25,3.25,26.5
3,9.00E+14,7190,LN001,LN,n,U,nU,91.15343572,U2,U2.1,26.6,97,168.3,29.3,1.111111111,11.45475372,29.3,3.4,25,2.3,26.5
1,9.00E+14,7194,TZ011,TZ,u,U,uU,60.15863793,U2,U2.1,18.1,87,94,30.8,0.909090909,10.44932079,30.8,3.25,25,2.75,25.5
2,9.00E+14,7194,TZ011,TZ,u,U,uU,60.15863793,U2,U2.1,18.1,87,155.4,29,1.428571429,16.42036125,29,3.5,25,3.3,26.5
3,9.00E+14,7194,TZ011,TZ,u,U,uU,60.15863793,U2,U2.1,18.1,87,113.4,29.3,1.111111111,12.77139208,29.3,4,25.5,3.55,27
1,9.00E+14,7226,LN017,LN,n,U,nU,90.31310792,U2,U2.2,16,85,80.6,31.7,1.25,14.70588235,31.7,2.6,25,3.1,26
2,9.00E+14,7226,LN017,LN,n,U,nU,90.31310792,U2,U2.2,16,85,84.6,29.6,1.428571429,16.80672269,29.6,3.15,25,2.9,26
3,9.00E+14,7226,LN017,LN,n,U,nU,90.31310792,U2,U2.2,16,85,110.6,29.5,1.25,14.70588235,29.5,2.7,25.5,3.2,26.5
1,9.00E+14,7283,LN008,LN,n,U,nU,91.15343572,U2,U2.2,20.9,93,118,29.8,1.25,13.44086022,29.8,2.85,25,2.7,25.5
2,9.00E+14,7283,LN008,LN,n,U,nU,91.15343572,U2,U2.2,20.9,93,123.5,29.9,1.428571429,15.3609831,29.9,2.95,25.5,2.8,26
3,9.00E+14,7283,LN008,LN,n,U,nU,91.15343572,U2,U2.2,20.9,93,205.3,30.3,1.428571429,15.3609831,30.3,3.15,25,2.7,26
1,9.00E+14,7245,CG005,CG,u,U,uU,0.369364169,U2,U2.3,23.1,92,93.7,27,1,10.86956522,27,3.05,24,2.3,25
2,9.00E+14,7245,CG005,CG,u,U,uU,0.369364169,U2,U2.3,23.1,92,139.6,29.5,1.111111111,12.07729469,29.5,4.05,24,4.2,25
3,9.00E+14,7245,CG005,CG,u,U,uU,0.369364169,U2,U2.3,23.1,92,176.3,29.8,1.25,13.58695652,29.8,3.6,24.5,3.6,25
1,9.00E+14,7291,TZ009,TZ,u,U,uU,59.13762436,U2,U2.3,20.3,85,112,28.4,0.909090909,10.69518717,28.4,2.5,23.5,3.4,26
2,9.00E+14,7291,TZ009,TZ,u,U,uU,59.13762436,U2,U2.3,20.3,85,111.6,30.1,1.111111111,13.07189542,30.1,2.65,24,2.8,26
3,9.00E+14,7291,TZ009,TZ,u,U,uU,59.13762436,U2,U2.3,20.3,85,102.8,29.5,1.25,14.70588235,29.5,2.6,24,2.3,26.5
1,9.00E+14,10645,BW003,BW,n,U,nU,48.65329374,U2,U2.3,14.9,86,100.4,27.4,1.111111111,12.91989664,27.4,2.5,24,2.7,26
2,9.00E+14,10645,BW003,BW,n,U,nU,48.65329374,U2,U2.3,14.9,86,105.4,30,1,11.62790698,30,2.5,24.5,2.15,26.5
3,9.00E+14,10645,BW003,BW,n,U,nU,48.65329374,U2,U2.3,14.9,86,163.8,30.5,1.428571429,16.61129568,30.5,2.5,24,2.2,27
1,9.00E+14,7104,MB004,MB,u,U,uU,37.3077438,U3,U3.1,24.3,94,130.2,29.6,1.111111111,11.82033097,29.6,5.05,24,3.8,22
2,9.00E+14,7104,MB004,MB,u,U,uU,37.3077438,U3,U3.1,24.3,94,110.8,30.5,1.428571429,15.19756839,30.5,3.8,24.5,3.6,22
3,9.00E+14,7104,MB004,MB,u,U,uU,37.3077438,U3,U3.1,24.3,94,172,30.3,1.428571429,15.19756839,30.3,4.65,25,3,22
1,9.00E+14,7166,CG001,CG,u,U,uU,0.369364169,U3,U3.1,12.2,83,80.7,30.4,1,12.04819277,30.4,2.8,24,2.3,23
2,9.00E+14,7166,CG001,CG,u,U,uU,0.369364169,U3,U3.1,12.2,83,64,30.5,1.25,15.06024096,30.5,2.2,24,2,23
3,9.00E+14,7166,CG001,CG,u,U,uU,0.369364169,U3,U3.1,12.2,83,117.5,30,1.25,15.06024096,30,2.8,24.5,1.9,23
1,9.00E+14,7176,LN014,LN,n,U,nU,90.31310792,U3,U3.1,18.5,91,104.6,30.4,1.25,13.73626374,30.4,3.25,24,2.6,25
2,9.00E+14,7176,LN014,LN,n,U,nU,90.31310792,U3,U3.1,18.5,91,114.4,29.7,2,21.97802198,29.7,2.95,24.5,3,25
3,9.00E+14,7176,LN014,LN,n,U,nU,90.31310792,U3,U3.1,18.5,91,184.6,29.5,1.666666667,18.31501832,29.5,3,25,2.5,25
1,9.00E+14,7095,MB003,MB,u,U,uU,32.06530564,U3,U3.2,15.8,85,97.1,29.9,0.909090909,10.69518717,29.9,2.7,25.5,2.05,25
2,9.00E+14,7095,MB003,MB,u,U,uU,32.06530564,U3,U3.2,15.8,85,93.3,30,1.111111111,13.07189542,30,3.05,25,1.75,25
3,9.00E+14,7095,MB003,MB,u,U,uU,32.06530564,U3,U3.2,15.8,85,141,29.4,1.428571429,16.80672269,29.4,2.65,24.5,1.75,24.5
1,9.00E+14,7217,LN009,LN,n,U,nU,91.15343572,U3,U3.2,15,83,77.4,26.5,1.111111111,13.38688086,26.5,2.45,25,1.8,25
2,9.00E+14,7217,LN009,LN,n,U,nU,91.15343572,U3,U3.2,15,83,107.2,30.4,1.428571429,17.21170396,30.4,2,25,1.8,24
3,9.00E+14,7217,LN009,LN,n,U,nU,91.15343572,U3,U3.2,15,83,139.8,28.8,1.428571429,17.21170396,28.8,2,24.5,1.85,23.5
1,9.00E+14,7237,LN008,LN,n,U,nU,91.15343572,U3,U3.2,23.8,95,98.9,28.9,1,10.52631579,28.9,3.3,24,2.65,25
2,9.00E+14,7237,LN008,LN,n,U,nU,91.15343572,U3,U3.2,23.8,95,104.1,30.3,1.111111111,11.69590643,30.3,3.7,24.5,2.4,25.5
3,9.00E+14,7237,LN008,LN,n,U,nU,91.15343572,U3,U3.2,23.8,95,136.6,28.3,0.909090909,9.56937799,28.3,4.1,25,2.8,26
1,9.00E+14,7251,LN007,LN,n,U,nU,91.15343572,U3,U3.2,16.1,83,107.2,29.4,1.111111111,13.38688086,29.4,2.7,24,2.25,25
2,9.00E+14,7251,LN007,LN,n,U,nU,91.15343572,U3,U3.2,16.1,83,90,30.4,1.111111111,13.38688086,30.4,3.65,24,2.2,25.5
3,9.00E+14,7251,LN007,LN,n,U,nU,91.15343572,U3,U3.2,16.1,83,127.3,28.9,1,12.04819277,28.9,2.9,24,3.2,26
1,9.00E+14,7270,LN017,LN,n,U,nU,90.31310792,U3,U3.2,18.2,84,92.2,27.4,1.25,14.88095238,27.4,3.5,24.5,2.25,25
2,9.00E+14,7270,LN017,LN,n,U,nU,90.31310792,U3,U3.2,18.2,84,89.7,30,1.428571429,17.00680272,30,4.3,25,2.3,25
3,9.00E+14,7270,LN017,LN,n,U,nU,90.31310792,U3,U3.2,18.2,84,158.5,29.9,1.25,14.88095238,29.9,2.7,25.5,2.05,25
1,9.00E+14,7005,CG005,CG,u,U,uU,0.369364169,U3,U3.3,22.7,90,149.9,29.1,1.25,13.88888889,29.1,3.9,25.5,2.25,25.5
2,9.00E+14,7005,CG005,CG,u,U,uU,0.369364169,U3,U3.3,22.7,90,142,29.4,1.428571429,15.87301587,29.4,3.25,25,2.55,26
3,9.00E+14,7005,CG005,CG,u,U,uU,0.369364169,U3,U3.3,22.7,90,175.5,29.2,1.428571429,15.87301587,29.2,2.9,25,2.1,26.5
1,9.00E+14,10246,GR007,GR,n,U,nU,100,U3,U3.3,13.6,76,91.5,29.5,0.909090909,11.96172249,29.5,2.2,24.5,1.5,24.5
2,9.00E+14,10246,GR007,GR,n,U,nU,100,U3,U3.3,13.6,76,78.6,31.1,0.909090909,11.96172249,31.1,2.1,25,1.6,25
3,9.00E+14,10246,GR007,GR,n,U,nU,100,U3,U3.3,13.6,76,109.4,29.5,0.666666667,8.771929825,29.5,2.55,25.5,1.4,26
1,9.00E+14,10566,BW002,BW,n,U,nU,48.65329374,U3,U3.3,15.8,81,95.3,28.7,1.111111111,13.71742112,28.7,3.1,24.5,2.1,25.5
2,9.00E+14,10566,BW002,BW,n,U,nU,48.65329374,U3,U3.3,15.8,81,124.5,28.8,1.111111111,13.71742112,28.8,3.1,25,2.25,25
3,9.00E+14,10566,BW002,BW,n,U,nU,48.65329374,U3,U3.3,15.8,81,127.1,28.9,1.111111111,13.71742112,28.9,3.15,24.5,1.95,24.5
1,9.00E+14,10568,TZ003,TZ,u,U,uU,59.13762436,U3,U3.3,15.1,76,83.5,30.1,1,13.15789474,30.1,1.2,25,1.5,24.5
2,9.00E+14,10568,TZ003,TZ,u,U,uU,59.13762436,U3,U3.3,15.1,76,80.4,29.7,1.25,16.44736842,29.7,1.5,25,1.35,24
3,9.00E+14,10568,TZ003,TZ,u,U,uU,59.13762436,U3,U3.3,15.1,76,90.5,29.5,1.428571429,18.79699248,29.5,1.45,25.5,1.5,23.5
1,9.00E+14,10592,BW003,BW,n,U,nU,48.65329374,U3,U3.3,24.8,95,141.5,29.3,0.909090909,9.56937799,29.3,3.95,24,2.8,24.5
2,9.00E+14,10592,BW003,BW,n,U,nU,48.65329374,U3,U3.3,24.8,95,161.6,29,1.111111111,11.69590643,29,3.4,24,2.7,25
3,9.00E+14,10592,BW003,BW,n,U,nU,48.65329374,U3,U3.3,24.8,95,186.6,28.8,1.111111111,11.69590643,28.8,4.05,24,2.9,26
